age,employment_status,annual_income,avg_monthly_balance,num_deposits_per_month,debit_card_spending,credit_score,num_open_loans,total_outstanding_debt,late_payment_count,loan_default_history,loan_application_amount,loan_repayment_history,debt_to_income_ratio,credit_risk
59,Employed,86331.0,4607.0,1,2092,685.0,2,41960.0,1,0,21050,Poor,0.486,1
49,Employed,49394.0,2072.0,5,2169,741.0,2,21647.0,2,0,17330,Good,0.438,0
35,Employed,64768.0,4341.0,1,3102,550.0,1,20315.0,1,0,14284,Excellent,0.314,0
63,Employed,137596.0,8105.0,3,5904,686.0,2,53287.0,0,0,28094,Good,0.387,0
28,Employed,17101.0,296.0,1,306,675.0,2,9797.0,0,0,5919,Average,0.573,0
41,Employed,69049.0,1322.0,7,3312,734.0,4,22262.0,1,0,5798,Good,0.322,0
59,Employed,178022.0,3569.0,8,3821,666.0,1,66094.0,5,0,15505,Good,0.371,1
39,Employed,64229.0,3873.0,4,1205,602.0,2,14470.0,1,1,25864,Average,0.225,1
43,Employed,136340.0,4317.0,9,5949,681.0,6,33921.0,0,0,60000,Average,0.249,0
31,Employed,38911.0,1263.0,8,850,599.0,2,23109.0,2,0,12150,Good,0.594,1
31,Employed,54039.0,481.0,7,2633,536.0,1,3406.0,1,0,4229,Excellent,0.063,0
44,Employed,56024.0,3678.0,11,1247,735.0,6,22261.0,4,0,4870,Average,0.397,0
56,Employed,16243.0,1047.0,9,454,723.0,2,8085.0,0,0,5518,Good,0.498,0
60,Employed,28929.0,100.0,10,1137,715.0,2,5492.0,1,0,10704,Poor,0.19,0
44,Self-Employed,30086.0,1783.0,3,1272,778.0,2,4472.0,2,0,5045,Good,0.149,0
23,Employed,86442.0,2369.0,12,1375,630.0,0,51022.0,2,0,35074,Good,0.59,1
42,Unemployed,88856.0,2522.0,2,2251,573.0,1,60987.0,0,0,12457,Average,0.686,1
22,Unemployed,65730.0,4540.0,10,1852,675.0,3,20630.0,2,0,29739,Excellent,0.314,0
44,Employed,86539.0,2393.0,5,5313,654.0,5,29851.0,2,0,22184,Excellent,0.345,0
64,Employed,50252.0,4149.0,10,2104,617.0,3,32131.0,1,1,13285,Average,0.639,1
50,Employed,106527.0,6755.0,15,1248,674.0,1,5592.0,1,0,28745,Excellent,0.052,0
58,Self-Employed,55266.0,4180.0,9,2124,634.0,1,26552.0,2,0,15544,Excellent,0.48,0
